CATEGORY_ENGLISH,total_customers,repeat_customers,repeat_rate_percent,loyalty_level
arts_and_craftmanship,20,2,10.0,高忠诚品类
home_appliances,688,50,7.27,中忠诚品类
home_comfort_2,21,1,4.76,低忠诚品类
diapers_and_hygiene,24,1,4.17,低忠诚品类
furniture_bedroom,86,3,3.49,低忠诚品类
fashion_bags_accessories,1751,50,2.86,低忠诚品类
bed_bath_table,8929,238,2.67,低忠诚品类
sports_leisure,7305,168,2.3,低忠诚品类
books_imported,49,1,2.04,低忠诚品类
furniture_decor,6063,123,2.03,低忠诚品类
fashion_male_clothing,104,2,1.92,流失品类
computers_accessories,6387,119,1.86,流失品类
dvds_blu_ray,54,1,1.85,流失品类
drinks,277,5,1.81,流失品类
furniture_living_room,402,7,1.74,流失品类
health_beauty,8464,142,1.68,流失品类
costruction_tools_garden,184,3,1.63,流失品类
home_appliances_2,222,3,1.35,流失品类
books_general_interest,487,6,1.23,流失品类
pet_shop,1661,19,1.14,流失品类
